Timestamp,Latitude,Longitude,RedPixels,OrangePixels,GreenPixels
2025-06-16 12-40-25,13.15,79.95,732,784,5150
2025-06-16 12-40-25,13.15,79.96,612,708,4499
2025-06-16 12-40-25,13.15,79.97,443,992,4053
2025-06-16 12-40-25,13.15,79.98,299,896,3547
2025-06-16 12-40-25,13.15,79.99,299,703,3714
2025-06-16 12-40-25,13.15,80,299,713,3361
2025-06-16 12-40-25,13.15,80.01,299,876,5871
2025-06-16 12-40-25,13.15,80.02,329,840,7937
2025-06-16 12-40-25,13.15,80.03,329,947,9633
2025-06-16 12-40-25,13.15,80.04,328,881,9559
2025-06-16 12-40-25,13.15,80.05,329,876,10302
2025-06-16 12-40-25,13.15,80.06,328,902,9542
2025-06-16 12-40-25,13.15,80.07,332,890,9404
2025-06-16 12-40-25,13.15,80.08,328,777,7789
2025-06-16 12-40-25,13.15,80.09,299,749,5996
2025-06-16 12-40-25,13.15,80.1,299,752,4491
2025-06-16 12-40-25,13.15,80.11,299,746,2915
2025-06-16 12-40-25,13.15,80.12,303,705,3129
2025-06-16 12-40-25,13.15,80.13,299,717,2730
2025-06-16 12-40-25,13.15,80.14,335,730,2510
2025-06-16 12-40-25,13.15,80.15,344,719,4044
2025-06-16 12-40-25,13.15,80.16,470,726,7277
2025-06-16 12-40-25,13.15,80.17,377,876,10717
2025-06-16 12-40-25,13.15,80.18,399,1390,15447
2025-06-16 12-40-25,13.15,80.19,544,1534,20099
2025-06-16 12-40-25,13.15,80.2,582,1719,21399
2025-06-16 12-40-25,13.15,80.21,540,1754,19817
2025-06-16 12-40-25,13.15,80.22,531,1701,20185
2025-06-16 12-40-25,13.15,80.23,484,1568,17973
2025-06-16 12-40-25,13.15,80.24,355,1378,16235
2025-06-16 12-40-25,13.15,80.25,354,1074,13694
2025-06-16 12-40-25,13.15,80.26,352,871,12750
2025-06-16 12-40-25,13.15,80.27,299,943,12545
2025-06-16 12-40-25,13.15,80.28,299,1024,10480
2025-06-16 12-40-25,13.15,80.29,299,1021,9086
2025-06-16 12-40-25,13.15,80.3,299,927,8950
2025-06-16 12-40-25,13.15,80.31,299,873,5880
2025-06-16 12-40-25,13.15,80.32,299,861,4882
2025-06-16 12-40-25,13.15,80.33,299,823,3448
2025-06-16 12-40-25,13.15,80.34,299,703,1191
2025-06-16 12-40-25,13.15,80.35,299,703,615
2025-06-16 12-40-25,13.15,80.36,299,703,615
2025-06-16 12-40-25,13.15,80.37,299,703,211
2025-06-16 12-40-25,13.15,80.38,299,703,211
2025-06-16 12-40-25,13.15,80.39,299,703,211
2025-06-16 12-40-25,13.16,79.95,299,1119,3686
2025-06-16 12-40-25,13.16,79.96,299,703,2911
2025-06-16 12-40-25,13.16,79.97,299,703,2308
2025-06-16 12-40-25,13.16,79.98,299,703,2075
2025-06-16 12-40-25,13.16,79.99,299,703,2537
2025-06-16 12-40-25,13.16,80,299,715,3433
2025-06-16 12-40-25,13.16,80.01,299,745,5398
2025-06-16 12-40-25,13.16,80.02,299,773,6644
2025-06-16 12-40-25,13.16,80.03,299,772,8374
2025-06-16 12-40-25,13.16,80.04,299,785,10963
2025-06-16 12-40-25,13.16,80.05,299,779,11528
2025-06-16 12-40-25,13.16,80.06,299,784,13962
2025-06-16 12-40-25,13.16,80.07,299,776,14393
2025-06-16 12-40-25,13.16,80.08,299,730,10314
2025-06-16 12-40-25,13.16,80.09,299,735,7402
2025-06-16 12-40-25,13.16,80.1,299,719,5117
2025-06-16 12-49-21,12.75,79.95,299,1365,6343
2025-06-16 12-49-21,12.75,79.96,342,1441,8946
2025-06-16 12-49-21,12.75,79.97,366,2189,11032
2025-06-16 12-49-21,12.75,79.98,581,2003,10026
2025-06-16 12-49-21,12.75,79.99,581,1813,10822
2025-06-16 12-49-21,12.75,80,582,1031,10532
2025-06-16 12-49-21,12.75,80.01,543,764,8408
2025-06-16 12-49-21,12.75,80.02,545,767,7725
2025-06-16 12-49-21,12.75,80.03,423,844,6008
2025-06-16 12-49-21,12.75,80.04,299,711,4903
2025-06-16 12-49-21,12.75,80.05,299,703,4576
2025-06-16 12-49-21,12.75,80.06,299,703,3550
2025-06-16 12-49-21,12.75,80.07,299,703,3211
2025-06-16 12-49-21,12.75,80.08,299,703,5271
2025-06-16 12-49-21,12.75,80.09,299,703,5614
2025-06-16 12-49-21,12.75,80.1,299,703,4821
2025-06-16 12-49-21,12.75,80.11,306,703,4486
2025-06-16 12-49-21,12.75,80.12,311,703,6585
2025-06-16 12-49-21,12.75,80.13,310,703,7290
2025-06-16 12-49-21,12.75,80.14,311,707,6933
2025-06-16 12-49-21,12.75,80.15,309,716,3306
2025-06-16 12-49-21,12.75,80.16,311,725,3734
2025-06-16 12-49-21,12.75,80.17,299,719,5782
2025-06-16 12-49-21,12.75,80.18,299,829,7113
2025-06-16 12-49-21,12.75,80.19,299,828,6809
2025-06-16 12-49-21,12.75,80.2,299,827,6365
2025-06-16 12-49-21,12.75,80.21,299,703,7788
2025-06-16 12-49-21,12.75,80.22,299,703,8334
2025-06-16 12-49-21,12.75,80.23,299,703,7881
2025-06-16 12-49-21,12.75,80.24,299,703,6002
2025-06-16 12-49-21,12.75,80.25,299,703,3213
2025-06-16 12-49-21,12.75,80.26,299,703,2647
2025-06-16 12-49-21,12.75,80.27,299,703,1940
2025-06-16 12-49-21,12.75,80.28,299,703,956
2025-06-16 12-49-21,12.75,80.29,299,703,615
2025-06-16 12-49-21,12.75,80.3,299,703,211
2025-06-16 12-49-21,12.75,80.31,299,703,211
2025-06-16 12-49-21,12.75,80.32,299,703,211
2025-06-16 12-49-21,12.75,80.33,299,703,211
2025-06-16 12-49-21,12.75,80.34,299,703,211
2025-06-16 12-49-21,12.75,80.35,299,703,211
2025-06-16 12-49-21,12.75,80.36,299,703,211
2025-06-16 12-49-21,12.75,80.37,299,703,211
2025-06-16 12-49-21,12.75,80.38,299,703,211
2025-06-16 12-49-21,12.75,80.39,299,703,211
2025-06-16 12-49-21,12.76,79.95,299,1226,7193
2025-06-16 12-49-21,12.76,79.96,343,1342,8745
2025-06-16 12-49-21,12.76,79.97,349,1914,9503
2025-06-16 12-49-21,12.76,79.98,623,1881,11570
2025-06-16 12-49-21,12.76,79.99,627,1890,10460
2025-06-16 12-49-21,12.76,80,484,1902,9165
2025-06-16 12-49-21,12.76,80.01,371,1772,7218
