Timestamp,Latitude,Longitude,RedPixels,OrangePixels,GreenPixels
2025-06-11 12-04-23,13.0,79.95,346,829,11081
2025-06-11 12-04-23,13.0,79.96,346,1052,17167
2025-06-11 12-04-23,13.0,79.97,346,1233,16513
2025-06-11 12-04-23,13.0,79.98,381,1482,14407
2025-06-11 12-04-23,13.0,79.99,435,1786,10528
2025-06-11 12-04-23,13.0,80.0,348,1324,8694
2025-06-11 12-04-23,13.0,80.01,299,1000,8168
2025-06-11 12-04-23,13.0,80.02,299,941,5918
2025-06-11 12-04-23,13.0,80.03,299,726,3971
2025-06-11 12-04-23,13.0,80.04,299,728,3763
2025-06-11 12-04-23,13.0,80.05,299,703,4243
2025-06-11 12-04-23,13.0,80.06,299,703,8873
2025-06-11 12-04-23,13.0,80.07,319,759,13263
2025-06-11 12-04-23,13.0,80.08,299,821,16623
2025-06-11 12-04-23,13.0,80.09,299,914,18946
2025-06-11 12-04-23,13.0,80.1,299,1553,21017
2025-06-11 12-04-23,13.0,80.11,318,1606,19292
2025-06-11 12-04-23,13.0,80.12,321,1565,17392
2025-06-11 12-04-23,13.0,80.13,352,1388,12572
2025-06-11 12-04-23,13.0,80.14,341,1317,11803
2025-06-11 12-04-23,13.0,80.15,354,1502,9439
2025-06-11 12-04-23,13.0,80.16,534,1583,9764
2025-06-11 12-04-23,13.0,80.17,648,2155,12622
2025-06-11 12-04-23,13.0,80.18,870,2340,14394
2025-06-11 12-04-23,13.0,80.19,753,2631,20022
2025-06-11 12-04-23,13.0,80.2,1050,1713,19175
2025-06-11 12-04-23,13.0,80.21,1513,2135,18377
2025-06-11 12-04-23,13.0,80.22,2430,1887,13338
2025-06-11 12-04-23,13.0,80.23,3260,1854,12496
2025-06-11 12-04-23,13.0,80.24,2996,1296,9247
2025-06-11 12-04-23,13.0,80.25,1790,1391,9168
2025-06-11 12-04-23,13.0,80.26,1757,1194,6489
2025-06-11 12-04-23,13.0,80.27,1858,1361,5119
2025-06-11 12-04-23,13.0,80.28,1676,1451,3355
2025-06-11 12-04-23,13.0,80.29,905,813,1283
2025-06-11 12-04-23,13.0,80.3,819,1320,216
2025-06-11 12-04-23,13.0,80.31,299,1119,211
2025-06-11 12-04-23,13.0,80.32,682,703,211
2025-06-11 12-04-23,13.0,80.33,299,703,211
2025-06-11 12-04-23,13.0,80.34,299,703,211
2025-06-11 12-04-23,13.0,80.35,299,703,211
2025-06-11 12-04-23,13.0,80.36,299,703,211
2025-06-11 12-04-23,13.0,80.37,299,703,211
2025-06-11 12-04-23,13.0,80.38,299,703,211
2025-06-11 12-04-23,13.0,80.39,299,703,211
2025-06-11 12-04-23,13.01,79.95,299,812,11440
2025-06-11 12-04-23,13.01,79.96,299,790,14084
2025-06-11 12-04-23,13.01,79.97,299,1130,14736
2025-06-11 12-04-23,13.01,79.98,299,1368,15337
2025-06-11 12-04-23,13.01,79.99,401,1554,15007
2025-06-11 12-04-23,13.01,80.0,405,1695,14274
2025-06-11 12-04-23,13.01,80.01,402,1608,13784
2025-06-11 12-04-23,13.01,80.02,405,1364,6569
2025-06-11 12-04-23,13.01,80.03,356,948,3185
2025-06-11 12-04-23,13.01,80.04,359,868,2798
2025-06-11 12-04-23,13.01,80.05,358,838,2846
2025-06-11 12-04-23,13.01,80.06,299,844,6649
2025-06-11 12-04-23,13.01,80.07,299,792,10963
2025-06-11 12-04-23,13.01,80.08,299,814,14020
2025-06-11 12-04-23,13.01,80.09,299,808,18087
2025-06-11 12-04-23,13.01,80.1,299,1167,19349
2025-06-11 12-04-23,13.01,80.11,304,1163,19197
2025-06-11 12-04-23,13.01,80.12,303,1208,19044
2025-06-11 12-04-23,13.01,80.13,349,887,16074
2025-06-11 12-04-23,13.01,80.14,348,827,12712
2025-06-11 12-04-23,13.01,80.15,636,1021,9622
2025-06-11 12-04-23,13.01,80.16,893,1981,9924
2025-06-11 12-04-23,13.01,80.17,918,2450,11342
2025-06-11 12-04-23,13.01,80.18,1433,2758,10589
2025-06-11 12-04-23,13.01,80.19,1139,3009,15229
2025-06-11 12-04-23,13.01,80.2,1350,2617,17275
2025-06-11 12-04-23,13.01,80.21,1739,2441,18208
2025-06-11 12-04-23,13.01,80.22,2903,2347,18643
2025-06-11 12-04-23,13.01,80.23,2507,1983,16803
2025-06-11 12-04-23,13.01,80.24,2599,1559,14622
2025-06-11 12-04-23,13.01,80.25,2753,1202,9666
2025-06-11 12-04-23,13.01,80.26,2821,1448,6404
2025-06-11 12-04-23,13.01,80.27,3076,1079,5606
2025-06-11 12-04-23,13.01,80.28,1649,877,2803
2025-06-11 12-04-23,13.01,80.29,885,759,1429
2025-06-11 12-04-23,13.01,80.3,682,1214,461
2025-06-11 12-04-23,13.01,80.31,299,703,634
2025-06-11 12-04-23,13.01,80.32,299,1119,211
2025-06-11 12-04-23,13.01,80.33,299,703,211
2025-06-11 12-04-23,13.01,80.34,299,703,211
2025-06-11 12-04-23,13.01,80.35,299,703,211
2025-06-11 12-04-23,13.01,80.36,299,703,211
2025-06-11 12-04-23,13.01,80.37,299,703,211
2025-06-11 12-04-23,13.01,80.38,299,703,211
2025-06-11 12-04-23,13.01,80.39,299,703,211
2025-06-11 12-04-23,13.02,79.95,299,736,12831
2025-06-11 12-04-23,13.02,79.96,299,735,11543
2025-06-11 12-04-23,13.02,79.97,299,916,10196
2025-06-11 12-04-23,13.02,79.98,299,1050,10768
2025-06-11 12-04-23,13.02,79.99,299,1294,11551
2025-06-11 12-04-23,13.02,80.0,299,1502,16027
2025-06-11 12-04-23,13.02,80.01,299,1750,14077
2025-06-11 12-04-23,13.02,80.02,299,1703,10443
2025-06-11 12-04-23,13.02,80.03,299,1568,7275
2025-06-11 12-04-23,13.02,80.04,299,1600,4550
2025-06-11 12-04-23,13.02,80.05,299,943,3030
2025-06-11 12-04-23,13.02,80.06,299,816,5581
